time,depth,SM,sitename
9/14/2021,40,0.291125,BN-PLAYABLANCA
9/14/2021,70,0.32975,BN-PLAYABLANCA
9/14/2021,120,0.253166667,BN-PLAYABLANCA
9/14/2021,170,0.306791667,BN-PLAYABLANCA
9/15/2021,10,0.3465,BN-PLAYABLANCA
9/15/2021,40,0.286583333,BN-PLAYABLANCA
9/15/2021,70,0.324666667,BN-PLAYABLANCA
9/15/2021,120,0.251166667,BN-PLAYABLANCA
9/15/2021,170,0.305791667,BN-PLAYABLANCA
9/16/2021,10,0.341208333,BN-PLAYABLANCA
9/16/2021,40,0.283708333,BN-PLAYABLANCA
9/16/2021,70,0.320958333,BN-PLAYABLANCA
9/16/2021,120,0.249541667,BN-PLAYABLANCA
9/16/2021,170,0.304875,BN-PLAYABLANCA
9/17/2021,10,0.337791667,BN-PLAYABLANCA
9/17/2021,40,0.281583333,BN-PLAYABLANCA
9/17/2021,70,0.318208333,BN-PLAYABLANCA
9/17/2021,120,0.248333333,BN-PLAYABLANCA
9/17/2021,170,0.303958333,BN-PLAYABLANCA
9/18/2021,10,0.335083333,BN-PLAYABLANCA
9/18/2021,40,0.280125,BN-PLAYABLANCA
9/18/2021,70,0.316083333,BN-PLAYABLANCA
9/18/2021,120,0.247291667,BN-PLAYABLANCA
9/18/2021,170,0.303,BN-PLAYABLANCA
9/19/2021,10,0.332916667,BN-PLAYABLANCA
9/19/2021,40,0.278666667,BN-PLAYABLANCA
9/19/2021,70,0.314208333,BN-PLAYABLANCA
9/19/2021,120,0.246375,BN-PLAYABLANCA
9/19/2021,170,0.30225,BN-PLAYABLANCA
9/20/2021,10,0.330916667,BN-PLAYABLANCA
9/20/2021,40,0.277375,BN-PLAYABLANCA
9/20/2021,70,0.312458333,BN-PLAYABLANCA
9/20/2021,120,0.245708333,BN-PLAYABLANCA
9/20/2021,170,0.301458333,BN-PLAYABLANCA
9/21/2021,10,0.352116712,BN-PLAYABLANCA
9/21/2021,40,0.288235644,BN-PLAYABLANCA
9/21/2021,70,0.320173066,BN-PLAYABLANCA
9/21/2021,120,0.24507189,BN-PLAYABLANCA
9/21/2021,170,0.300626485,BN-PLAYABLANCA
9/22/2021,10,0.345085596,BN-PLAYABLANCA
9/22/2021,40,0.282327965,BN-PLAYABLANCA
9/22/2021,70,0.318276858,BN-PLAYABLANCA
9/22/2021,120,0.244967144,BN-PLAYABLANCA
9/22/2021,170,0.299881697,BN-PLAYABLANCA
9/23/2021,10,0.338654538,BN-PLAYABLANCA
9/23/2021,40,0.278315757,BN-PLAYABLANCA
9/23/2021,70,0.313407457,BN-PLAYABLANCA
9/23/2021,120,0.244660456,BN-PLAYABLANCA
9/23/2021,170,0.298943245,BN-PLAYABLANCA
9/24/2021,10,0.334078934,BN-PLAYABLANCA
9/24/2021,40,0.275913111,BN-PLAYABLANCA
9/24/2021,70,0.310365229,BN-PLAYABLANCA
9/24/2021,120,0.24418879,BN-PLAYABLANCA
9/24/2021,170,0.298228155,BN-PLAYABLANCA
9/25/2021,10,0.333521327,BN-PLAYABLANCA
9/25/2021,40,0.274444533,BN-PLAYABLANCA
9/25/2021,70,0.308427884,BN-PLAYABLANCA
9/25/2021,120,0.243779617,BN-PLAYABLANCA
9/25/2021,170,0.297779584,BN-PLAYABLANCA
9/26/2021,10,0.331884066,BN-PLAYABLANCA
9/26/2021,40,0.273323945,BN-PLAYABLANCA
9/26/2021,70,0.306908007,BN-PLAYABLANCA
9/26/2021,120,0.243320878,BN-PLAYABLANCA
9/26/2021,170,0.296389776,BN-PLAYABLANCA
9/27/2021,10,0.329745768,BN-PLAYABLANCA
9/27/2021,40,0.272150329,BN-PLAYABLANCA
9/27/2021,70,0.305500665,BN-PLAYABLANCA
9/27/2021,120,0.242838645,BN-PLAYABLANCA
9/27/2021,170,0.295331626,BN-PLAYABLANCA
