      nSoil_Types           37543                
         ID    CLAY[%]    SAND[%]    Bd_mu[gcm-3]    nSamples
        661          4         68             1.4           5
        662          4         68             1.5           6
        663          4         68             1.6           4
        664          4         69             0.5          38
        665          4         69             0.6        1460
        666          4         69             0.7        3076
        667          4         69             0.8        1750
        668          4         69             0.9         818
        669          4         69               1         387
        670          4         69             1.1         174
        671          4         69             1.2          56
        672          4         69             1.3          21
        673          4         69             1.4          18
        674          4         69             1.5          11
        675          4         69             1.6           3
        676          4         70             0.4           1
        677          4         70             0.5          59
        678          4         70             0.6        1611
        679          4         70             0.7        3307
        680          4         70             0.8        1558
        681          4         70             0.9         686
        682          4         70               1         317
        683          4         70             1.1         183
        684          4         70             1.2          60
        685          4         70             1.3          31
        686          4         70             1.4          17
        687          4         70             1.5          10
        688          4         70             1.6           6
        689          4         70             1.7           2
        690          4         71             0.5          78
        691          4         71             0.6        1538
        692          4         71             0.7        3030
        693          4         71             0.8        1378
        694          4         71             0.9         533
        695          4         71               1         275
        696          4         71             1.1         167
        697          4         71             1.2          53
        698          4         71             1.3          38
        699          4         71             1.4          26
        700          4         71             1.5          16
        701          4         71             1.6           7
        702          4         72             0.5          50
        703          4         72             0.6        1334
        704          4         72             0.7        2409
        705          4         72             0.8        1000
        706          4         72             0.9         371
        707          4         72               1         189
        708          4         72             1.1         120
        709          4         72             1.2          56
        710          4         72             1.3          19
        711          4         72             1.4          15
        712          4         72             1.5          16
        713          4         72             1.6          11
        714          4         72             1.8           1
        715          4         73             0.5          34
        716          4         73             0.6        1012
        717          4         73             0.7        1699
        718          4         73             0.8         716
        719          4         73             0.9         240
        720          4         73               1         116
        721          4         73             1.1         105
        722          4         73             1.2          36
        723          4         73             1.3          21
        724          4         73             1.4          21
        725          4         73             1.5          24
